454 Software Release, 2.0.01.12

dateOfFile, 2009/07/30 14:26:52
runName,R_2009_07_30_14_26_52_FLX12080469_Administrator_714003
analysisName,D_2009_07_31_08_45_30_flxcluster_fullProcessing_714003
PTPType,unknown
PTPBarCode,714003
analysisType,<analysisType goes here>
numberOfRegions,2
numberOfCycles,-1
flowOrder,<flowOrder goes here>

region,1
rawWells,1039324
keyPassWells,1020209

keySequence,CATG
keyPassWells,9825
keySignalPerBase,326.318000,141.319000
95.000000,100,93.655172,1358
80.000000,100,100.000000,1450
100.000000,150,52.671756,759
99.000000,150,74.878557,1079
98.000000,150,88.410826,1274
95.000000,150,93.754337,1351
80.000000,150,100.000000,1441
100.000000,200,27.843685,399
99.000000,200,77.948360,1117
98.000000,200,88.415911,1267
95.000000,200,94.138172,1349
80.000000,200,100.000000,1433
100.000000,250,27.603075,395
99.000000,250,77.078966,1103
98.000000,250,89.867226,1286
95.000000,250,93.990217,1345
80.000000,250,100.000000,1431
100.000000,300,21.973408,314
99.000000,300,78.096571,1116
98.000000,300,87.543737,1251
95.000000,300,93.282015,1333
80.000000,300,100.000000,1429
100.000000,350,20.548909,292
99.000000,350,75.510204,1073
98.000000,350,86.558761,1230
95.000000,350,92.258973,1311
80.000000,350,100.000000,1421
100.000000,400,20.215054,282
99.000000,400,79.856631,1114
98.000000,400,87.240143,1217
95.000000,400,93.046595,1298
80.000000,400,100.000000,1395

sequence,AVTF7
Accuracy,Length,Percent of mapped,Number of wells
100.000000,100,62.232943,903
99.000000,100,87.801516,1274
98.000000,100,91.316334,1325
95.000000,100,94.417643,1370
80.000000,100,100.000000,1451
100.000000,150,60.776161,877
99.000000,150,83.506584,1205
98.000000,150,89.882190,1297
95.000000,150,92.931393,1341
80.000000,150,100.000000,1443
100.000000,200,59.680777,860
99.000000,200,85.981957,1239
98.000000,200,90.006940,1297
95.000000,200,93.962526,1354
80.000000,200,100.000000,1441
100.000000,250,55.177206,794
99.000000,250,83.252259,1198
98.000000,250,88.881167,1279
95.000000,250,93.467686,1345
80.000000,250,100.000000,1439
100.000000,300,52.896022,758
99.000000,300,84.787160,1215
98.000000,300,88.415911,1267
95.000000,300,93.021633,1333
80.000000,300,100.000000,1433
100.000000,350,51.890756,741
99.000000,350,83.333333,1190
98.000000,350,88.795518,1268
95.000000,350,92.787115,1325
80.000000,350,100.000000,1428
100.000000,400,47.475456,677
99.000000,400,82.047686,1170
98.000000,400,87.517532,1248
95.000000,400,92.426367,1318
80.000000,400,100.000000,1426

keySequence,TCAG
keyPassWells,1010339
keySignalPerBase,295.775000,154.327000
ppi,1,448.705000,92.281500
ppi,2,256.516000,45.655700
